"x","y"
158222.561833,943666.999097
214945.556092,943678.729068
197985.148504,943683.466595
162632.089537,943683.750726
162387.239744,943687.395234
211951.565854,943689.916733
213653.229158,943690.024673
208859.062119,943691.138936
199080.318388,943692.410127
201190.330577,943696.976156
224899.148549,943699.531456
202213.913026,943701.014572
203199.944074,943702.210672
203474.332604,943705.312788
199698.037493,943706.776797
167901.262158,943713.602826
199157.625922,943717.561794
224289.634141,943720.33225
217618.083648,943721.952759
225641.190687,943724.421615
171435.839619,943730.236944
202275.421944,943736.162398
199324.418932,943741.965532
199873.907377,943744.844011
225531.192378,943752.811733
200139.003982,943755.580164
199227.927218,943758.48872
204032.054759,943758.941919
199795.810303,943761.671645
200505.845753,943779.66824
203165.575331,943780.090317
219105.856496,943783.064343
202077.581543,943786.876562
204097.704924,943787.062955
215496.431622,943787.718153
203282.525853,943788.084373
135113.973321,943788.39636
207020.443675,943795.991646
201389.43609,943796.936537
202557.19081,943797.021932
144434.340121,943805.15214
201886.63403,943806.233285
134577.292587,943807.203923
203450.58473,943815.592703
201110.523393,943816.318155
